date,programmer,coffee_cups,hours_coding
01/01/2023,Dave,7,5
02/01/2023,Eve,9,5
03/01/2023,Charlie,8,4
04/01/2023,Eve,2,11
05/01/2023,Eve,1,4
06/01/2023,Bob,7,4
07/01/2023,Charlie,7,5
08/01/2023,Charlie,8,8
09/01/2023,Charlie,5,5
10/01/2023,Eve,3,10
11/01/2023,Dave,8,2
12/01/2023,Charlie,6,9
13/01/2023,Eve,3,8
14/01/2023,Bob,1,3
15/01/2023,Dave,3,9
16/01/2023,Bob,5,2
17/01/2023,Dave,3,10
18/01/2023,Eve,1,10
19/01/2023,Alice,5,3
20/01/2023,Dave,7,8
21/01/2023,Bob,7,11
22/01/2023,Eve,9,4
23/01/2023,Dave,3,8
24/01/2023,Alice,7,11
25/01/2023,Alice,1,10
26/01/2023,Charlie,4,5
27/01/2023,Charlie,4,2
28/01/2023,Bob,5,3
29/01/2023,Dave,7,2
30/01/2023,Dave,7,6
31/01/2023,Charlie,4,6
01/02/2023,Dave,7,8
02/02/2023,Dave,3,10
03/02/2023,Alice,6,10
04/02/2023,Charlie,2,4
05/02/2023,Eve,9,4
06/02/2023,Charlie,5,4
07/02/2023,Eve,6,5
08/02/2023,Alice,4,9
09/02/2023,Bob,7,7
10/02/2023,Dave,9,9
11/02/2023,Alice,7,2
12/02/2023,Dave,1,9
13/02/2023,Bob,1,5
14/02/2023,Bob,9,2
15/02/2023,Alice,9,9
16/02/2023,Bob,4,5
17/02/2023,Eve,9,7
18/02/2023,Bob,3,9
19/02/2023,Dave,7,5
20/02/2023,Dave,6,4
21/02/2023,Dave,8,10
22/02/2023,Dave,9,4
23/02/2023,Eve,5,10
24/02/2023,Charlie,1,3
25/02/2023,Alice,3,3
26/02/2023,Dave,8,3
27/02/2023,Bob,6,7
28/02/2023,Dave,8,4
01/03/2023,Bob,9,10
02/03/2023,Bob,4,5
03/03/2023,Dave,1,2
04/03/2023,Eve,1,5
05/03/2023,Bob,4,2
06/03/2023,Bob,7,6
07/03/2023,Dave,2,5
08/03/2023,Bob,3,9
09/03/2023,Bob,1,9
10/03/2023,Dave,5,8
11/03/2023,Dave,1,4
12/03/2023,Alice,8,2
13/03/2023,Eve,1,2
14/03/2023,Eve,1,4
15/03/2023,Bob,2,7
16/03/2023,Eve,2,8
17/03/2023,Bob,6,7
18/03/2023,Alice,7,7
19/03/2023,Dave,5,7
20/03/2023,Dave,1,4
21/03/2023,Dave,1,7
22/03/2023,Eve,3,9
23/03/2023,Alice,2,3
24/03/2023,Eve,5,6
25/03/2023,Eve,6,2
26/03/2023,Alice,7,2
27/03/2023,Alice,4,6
28/03/2023,Alice,7,4
29/03/2023,Alice,8,5
30/03/2023,Dave,1,4
31/03/2023,Charlie,6,2
01/04/2023,Charlie,8,2
02/04/2023,Alice,5,6
03/04/2023,Charlie,4,7
04/04/2023,Charlie,2,4
05/04/2023,Alice,6,10
06/04/2023,Charlie,6,6
07/04/2023,Eve,1,9
08/04/2023,Bob,9,2
09/04/2023,Bob,6,6
10/04/2023,Alice,3,4
